YYYY-MM,TREND,CPI_EUR,CPI_USA,LOGPEUR,LOGPUSA,DPEUR,DPUSA
2000M01,1,105.1,107.6,4.654912,4.678421,NA,NA
2000M02,2,105.4,108.3,4.657763,4.684905,0.002850,0.006485
2000M03,3,105.8,109.1,4.661551,4.692265,0.003788,0.007360
2000M04,4,105.9,109.2,4.662495,4.693181,0.000945,0.000916
2000M05,5,106.0,109.3,4.663439,4.694096,0.000944,0.000915
2000M06,6,106.4,109.9,4.667206,4.699571,0.003766,0.005474
2000M07,7,106.5,110.2,4.668145,4.702297,0.000939,0.002726
2000M08,8,106.6,110.2,4.669084,4.702297,0.000939,0.000000
2000M09,9,107.1,110.7,4.673763,4.706824,0.004679,0.004527
2000M10,10,107.1,110.9,4.673763,4.708629,0.000000,0.001805
2000M11,11,107.3,111.0,4.675629,4.709530,0.001866,0.000901
2000M12,12,107.7,110.9,4.679350,4.708629,0.003721,-0.000901
2001M01,13,107.3,111.6,4.675629,4.714921,-0.003721,0.006292
2001M02,14,107.6,112.1,4.678421,4.719391,0.002792,0.004470
2001M03,15,108.2,112.3,4.683981,4.721174,0.005561,0.001783
2001M04,16,108.8,112.8,4.689511,4.725616,0.005530,0.004442
2001M05,17,109.4,113.3,4.695011,4.730039,0.005500,0.004423
2001M06,18,109.5,113.5,4.695925,4.731803,0.000914,0.001764
2001M07,19,109.3,113.2,4.694096,4.729156,-0.001828,-0.002647
2001M08,20,109.2,113.2,4.693181,4.729156,-0.000915,0.000000
2001M09,21,109.5,113.7,4.695925,4.733563,0.002743,0.004407
2001M10,22,109.6,113.3,4.696837,4.730039,0.000913,-0.003524
2001M11,23,109.5,113.1,4.695925,4.728272,-0.000913,-0.001767
2001M12,24,110.0,112.7,4.700480,4.724729,0.004556,-0.003543
2002M01,25,110.1,112.9,4.701389,4.726502,0.000909,0.001773
2002M02,26,110.3,113.4,4.703204,4.730921,0.001815,0.004419
2002M03,27,110.9,114.0,4.708629,4.736198,0.005425,0.005277
2002M04,28,111.4,114.6,4.713127,4.741448,0.004498,0.005249
2002M05,29,111.6,114.6,4.714921,4.741448,0.001794,0.000000
2002M06,30,111.6,114.7,4.714921,4.742320,0.000000,0.000872
2002M07,31,111.5,114.8,4.714025,4.743191,-0.000896,0.000871
2002M08,32,111.6,115.2,4.714921,4.746670,0.000896,0.003478
2002M09,33,111.8,115.4,4.716712,4.748404,0.001791,0.001735
2002M10,34,112.1,115.6,4.719391,4.750136,0.002680,0.001732
2002M11,35,112.0,115.6,4.718499,4.750136,-0.000892,0.000000
2002M12,36,112.5,115.3,4.722953,4.747537,0.004454,-0.002599
2003M01,37,112.5,115.8,4.722953,4.751865,0.000000,0.004327
2003M02,38,112.9,116.7,4.726502,4.759607,0.003549,0.007742
2003M03,39,113.6,117.4,4.732684,4.765587,0.006181,0.005980
2003M04,40,113.8,117.2,4.734443,4.763882,0.001759,-0.001705
2003M05,41,113.7,117.0,4.733563,4.762174,-0.000879,-0.001708
2003M06,42,113.8,117.1,4.734443,4.763028,0.000879,0.000854
2003M07,43,113.7,117.2,4.733563,4.763882,-0.000879,0.000854
2003M08,44,113.9,117.7,4.735321,4.768139,0.001757,0.004257
2003M09,45,114.3,118.1,4.738827,4.771532,0.003506,0.003393
2003M10,46,114.4,117.9,4.739701,4.769837,0.000875,-0.001695
2003M11,47,114.5,117.6,4.740575,4.767289,0.000874,-0.002548
2003M12,48,114.8,117.5,4.743191,4.766438,0.002617,-0.000851
2004M01,49,114.6,118.1,4.741448,4.771532,-0.001744,0.005093
2004M02,50,114.8,118.7,4.743191,4.776599,0.001744,0.005068
2004M03,51,115.6,119.5,4.750136,4.783316,0.006944,0.006717
2004M04,52,116.2,119.9,4.755313,4.786658,0.005177,0.003342
2004M05,53,116.5,120.6,4.757891,4.792479,0.002578,0.005821
2004M06,54,116.6,120.9,4.758749,4.794964,0.000858,0.002484
2004M07,55,116.3,120.8,4.756173,4.794136,-0.002576,-0.000827
2004M08,56,116.6,120.8,4.758749,4.794136,0.002576,0.000000
2004M09,57,116.7,121.1,4.759607,4.796617,0.000857,0.002480
2004M10,58,117.2,121.7,4.763882,4.801559,0.004275,0.004942
2004M11,59,117.1,121.8,4.763028,4.802380,-0.000854,0.000821
2004M12,60,117.5,121.3,4.766438,4.798267,0.003410,-0.004114
2005M01,61,116.8,121.6,4.760463,4.800737,-0.005975,0.002470
2005M02,62,117.2,122.3,4.763882,4.806477,0.003419,0.005740
2005M03,63,118.1,123.2,4.771532,4.813809,0.007650,0.007332
2005M04,64,118.6,124.1,4.775756,4.821088,0.004225,0.007279
2005M05,65,118.8,123.9,4.777441,4.819475,0.001685,-0.001613
2005M06,66,119.0,124.0,4.779123,4.820282,0.001682,0.000807
2005M07,67,118.8,124.6,4.777441,4.825109,-0.001682,0.004827
2005M08,68,119.1,125.2,4.779963,4.829912,0.002522,0.004804
2005M09,69,119.7,126.7,4.784989,4.841822,0.005025,0.011910
2005M10,70,120.0,127.0,4.787492,4.844187,0.002503,0.002365
2005M11,71,119.8,126.0,4.785824,4.836282,-0.001668,-0.007905
2005M12,72,120.2,125.5,4.789157,4.832306,0.003333,-0.003976
2006M01,73,119.7,126.4,4.784989,4.839451,-0.004168,0.007146
2006M02,74,120.0,126.7,4.787492,4.841822,0.002503,0.002371
2006M03,75,120.7,127.4,4.793308,4.847332,0.005816,0.005510
2006M04,76,121.5,128.5,4.799914,4.855929,0.006606,0.008597
2006M05,77,121.8,129.1,4.802380,4.860587,0.002466,0.004658
2006M06,78,121.9,129.4,4.803201,4.862908,0.000821,0.002321
2006M07,79,121.8,129.7,4.802380,4.865224,-0.000821,0.002316
2006M08,80,121.9,130.0,4.803201,4.867534,0.000821,0.002310
2006M09,81,121.9,129.4,4.803201,4.862908,0.000000,-0.004626
2006M10,82,122.0,128.7,4.804021,4.857484,0.000820,-0.005424
2006M11,83,122.0,128.5,4.804021,4.855929,0.000000,-0.001555
2006M12,84,122.5,128.7,4.808111,4.857484,0.004090,0.001555
2007M01,85,121.9,129.1,4.803201,4.860587,-0.004910,0.003103
2007M02,86,122.2,129.7,4.805659,4.865224,0.002458,0.004637
2007M03,87,123.0,130.9,4.812184,4.874434,0.006525,0.009210
2007M04,88,123.8,131.8,4.818667,4.881286,0.006483,0.006852
2007M05,89,124.1,132.6,4.821088,4.887337,0.002420,0.006051
2007M06,90,124.2,132.8,4.821893,4.888844,0.000805,0.001507
2007M07,91,123.9,132.8,4.819475,4.888844,-0.002418,0.000000
2007M08,92,124.0,132.6,4.820282,4.887337,0.000807,-0.001507
2007M09,93,124.5,132.9,4.824306,4.889597,0.004024,0.002260
2007M10,94,125.1,133.2,4.829113,4.891852,0.004808,0.002255
2007M11,95,125.8,134.0,4.834693,4.897840,0.005580,0.005988
2007M12,96,126.3,133.9,4.838660,4.897093,0.003967,-0.000747
2008M01,97,125.8,134.6,4.834693,4.902307,-0.003967,0.005214
2008M02,98,126.2,135.0,4.837868,4.905275,0.003175,0.002967
2008M03,99,127.5,136.1,4.848116,4.913390,0.010248,0.008115
2008M04,100,127.9,137.0,4.851249,4.919981,0.003132,0.006591
2008M05,101,128.7,138.1,4.857484,4.927978,0.006235,0.007997
2008M06,102,129.2,139.5,4.861362,4.938065,0.003877,0.010087
2008M07,103,129.0,140.2,4.859812,4.943070,-0.001549,0.005005
2008M08,104,128.8,139.7,4.858261,4.939497,-0.001552,-0.003573
2008M09,105,129.0,139.5,4.859812,4.938065,0.001552,-0.001433
2008M10,106,129.1,138.1,4.860587,4.927978,0.000775,-0.010087
2008M11,107,128.4,135.4,4.855150,4.908233,-0.005437,-0.019745
2008M12,108,128.3,134.0,4.854371,4.897840,-0.000779,-0.010394
2009M01,109,127.2,134.6,4.845761,4.902307,-0.008611,0.004468
2009M02,110,127.7,135.3,4.849684,4.907495,0.003923,0.005187
2009M03,111,128.2,135.6,4.853592,4.909709,0.003908,0.002215
2009M04,112,128.7,136.0,4.857484,4.912655,0.003893,0.002946
2009M05,113,128.7,136.3,4.857484,4.914858,0.000000,0.002203
2009M06,114,129.0,137.5,4.859812,4.923624,0.002328,0.008766
2009M07,115,128.1,137.3,4.852811,4.922168,-0.007001,-0.001456
2009M08,116,128.6,137.6,4.856707,4.924351,0.003896,0.002183
2009M09,117,128.6,137.7,4.856707,4.925077,0.000000,0.000726
2009M10,118,128.9,137.8,4.859037,4.925803,0.002330,0.000726
2009M11,119,129.1,137.9,4.860587,4.926529,0.001550,0.000725
2009M12,120,129.5,137.7,4.863681,4.925077,0.003094,-0.001451
2010M01,121,128.4,138.1,4.855150,4.927978,-0.008530,0.002901
2010M02,122,128.8,138.2,4.858261,4.928702,0.003110,0.000724
2010M03,123,130.2,138.8,4.869072,4.933034,0.010811,0.004332
2010M04,124,130.8,139.0,4.873669,4.934474,0.004598,0.001440
2010M05,125,130.9,139.1,4.874434,4.935193,0.000764,0.000719
2010M06,126,130.9,139.0,4.874434,4.934474,0.000000,-0.000719
2010M07,127,130.4,139.0,4.870607,4.934474,-0.003827,0.000000
2010M08,128,130.6,139.2,4.872139,4.935912,0.001533,0.001438
2010M09,129,131.0,139.3,4.875197,4.936630,0.003058,0.000718
2010M10,130,131.4,139.4,4.878246,4.937347,0.003049,0.000718
2010M11,131,131.5,139.5,4.879007,4.938065,0.000761,0.000717
2010M12,132,132.3,139.7,4.885072,4.939497,0.006065,0.001433
2011M01,133,131.4,140.4,4.878246,4.944495,-0.006826,0.004998
2011M02,134,131.9,141.1,4.882044,4.949469,0.003798,0.004973
2011M03,135,133.7,142.5,4.895598,4.959342,0.013554,0.009873
2011M04,136,134.5,143.4,4.901564,4.965638,0.005966,0.006296
2011M05,137,134.5,144.1,4.901564,4.970508,0.000000,0.004870
2011M06,138,134.5,143.9,4.901564,4.969119,0.000000,-0.001389
2011M07,139,133.7,144.0,4.895598,4.969813,-0.005966,0.000695
2011M08,140,133.9,144.4,4.897093,4.972587,0.001495,0.002774
2011M09,141,134.9,144.7,4.904534,4.974663,0.007441,0.002075
2011M10,142,135.4,144.4,4.908233,4.972587,0.003700,-0.002075
2011M11,143,135.5,144.2,4.908972,4.971201,0.000738,-0.001386
2011M12,144,136.0,143.9,4.912655,4.969119,0.003683,-0.002083
